	station id	stationname	date	daytype	rides	year	month	day	week_day
857602	40470	Racine	2017-04-29	A	716	2017	4	29	Sat
857608	40470	Racine	2014-06-05	W	3625	2014	6	5	Thu
857816	40470	Racine	2005-09-15	W	2829	2005	9	15	Thu
857838	40470	Racine	2015-10-03	A	1026	2015	10	3	Sat
858074	40470	Racine	2011-03-30	W	2445	2011	3	30	Wed
858127	40470	Racine	2007-12-01	A	888	2007	12	1	Sat
858187	40470	Racine	2010-06-08	W	2537	2010	6	8	Tue
858552	40470	Racine	2003-09-29	W	2611	2003	9	29	Mon
858738	40470	Racine	2010-04-28	W	1840	2010	4	28	Wed
858796	40470	Racine	2013-07-21	U	1170	2013	7	21	Sun
858845	40470	Racine	2009-11-02	W	2322	2009	11	2	Mon
859057	40470	Racine	2003-01-02	W	1109	2003	1	2	Thu
859074	40470	Racine	2004-06-23	W	1604	2004	6	23	Wed
859186	40470	Racine	2003-03-09	U	430	2003	3	9	Sun
859688	40470	Racine	2013-01-06	U	693	2013	1	6	Sun
859706	40470	Racine	2011-08-03	W	1670	2011	8	3	Wed
859769	40470	Racine	2002-07-14	U	631	2002	7	14	Sun
860364	40470	Racine	2003-05-28	W	2326	2003	5	28	Wed
860426	40470	Racine	2009-08-19	W	1937	2009	8	19	Wed
860452	40470	Racine	2012-04-14	A	1424	2012	4	14	Sat
860507	40470	Racine	2003-07-25	W	1579	2003	7	25	Fri
861035	40470	Racine	2004-03-03	W	2441	2004	3	3	Wed
861059	40470	Racine	2003-06-09	W	2839	2003	6	9	Mon
861074	40470	Racine	2005-09-01	W	1770	2005	9	1	Thu
861088	40470	Racine	2001-05-18	W	2274	2001	5	18	Fri
861099	40470	Racine	2001-08-26	U	596	2001	8	26	Sun
861278	40470	Racine	2006-02-16	W	2300	2006	2	16	Thu
861608	40470	Racine	2017-10-13	W	2993	2017	10	13	Fri
861676	40470	Racine	2005-05-08	U	712	2005	5	8	Sun
861710	40470	Racine	2013-08-30	W	2870	2013	8	30	Fri
861746	40470	Racine	2011-12-09	W	3689	2011	12	9	Fri
861824	40470	Racine	2001-11-10	A	1140	2001	11	10	Sat
